# file...... house1_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1:air_temperature, house1:outdoor_temperature, house1:is_COOL_on, house1:cooling_setpoint, house1_meter:measured_real_power, house1_meter:measured_real_energy
2017-10-24 03:24:00 EDT,+63.5057,+55.834,+0,+65,+4445,+19234.2
2017-10-24 03:25:00 EDT,+65.6696,+55.867,+0,+65,+10989.7,+19391.9
2017-10-24 03:26:00 EDT,+67.8359,+55.9,+0,+65,+10991.7,+19575
2017-10-24 03:27:00 EDT,+68.0361,+55.933,+0,+65,+4445,+19674.6
2017-10-24 03:28:00 EDT,+67.7916,+55.966,+0,+65,+4445,+19748.6
2017-10-24 03:29:00 EDT,+67.6121,+55.999,+0,+65,+4445,+19822.7
2017-10-24 03:30:00 EDT,+67.4828,+56.032,+0,+65,+4445,+19896.8
2017-10-24 03:31:00 EDT,+67.392,+56.065,+0,+65,+4445,+19970.9
2017-10-24 03:32:00 EDT,+67.3311,+56.098,+0,+65,+4445,+20045
2017-10-24 03:33:00 EDT,+67.293,+56.131,+0,+65,+4445,+20119.1
2017-10-24 03:34:00 EDT,+67.2726,+56.164,+0,+65,+4445,+20193.1
2017-10-24 03:35:00 EDT,+67.2659,+56.197,+0,+65,+4445,+20267.2
2017-10-24 03:36:00 EDT,+67.2696,+56.23,+0,+65,+4445,+20341.3
2017-10-24 03:37:00 EDT,+67.2814,+56.263,+0,+65,+4445,+20415.4
2017-10-24 03:38:00 EDT,+67.2994,+56.296,+0,+65,+4445,+20489.5
2017-10-24 03:39:00 EDT,+67.3221,+56.329,+0,+65,+4445,+20563.6
2017-10-24 03:40:00 EDT,+67.3486,+56.362,+0,+65,+4445,+20637.6
2017-10-24 03:41:00 EDT,+67.3779,+56.395,+0,+65,+4445,+20711.7
2017-10-24 03:42:00 EDT,+67.4094,+56.428,+0,+65,+4445,+20785.8
2017-10-24 03:43:00 EDT,+67.4425,+56.461,+0,+65,+4445,+20859.9
2017-10-24 03:44:00 EDT,+67.477,+56.494,+0,+65,+4445,+20934
2017-10-24 03:45:00 EDT,+67.5124,+56.527,+0,+65,+4445,+21008.1
2017-10-24 03:46:00 EDT,+67.5485,+56.56,+0,+65,+4445,+21082.1
2017-10-24 03:47:00 EDT,+67.5853,+56.593,+0,+65,+4445,+21156.2
2017-10-24 03:48:00 EDT,+67.6224,+56.626,+0,+65,+4445,+21230.3
2017-10-24 03:49:00 EDT,+67.6599,+56.659,+0,+65,+4445,+21304.4
2017-10-24 03:50:00 EDT,+67.6976,+56.692,+0,+65,+4445,+21378.5
2017-10-24 03:51:00 EDT,+67.7355,+56.725,+0,+65,+4445,+21452.6
2017-10-24 03:52:00 EDT,+67.7736,+56.758,+0,+65,+4445,+21526.6
2017-10-24 03:53:00 EDT,+67.8117,+56.791,+0,+65,+4445,+21600.7
2017-10-24 03:54:00 EDT,+67.85,+56.824,+0,+65,+4445,+21674.8
2017-10-24 03:55:00 EDT,+67.8882,+56.857,+0,+65,+4445,+21748.9
2017-10-24 03:56:00 EDT,+67.9265,+56.89,+0,+65,+4445,+21823
2017-10-24 03:57:00 EDT,+67.9648,+56.923,+0,+65,+4445,+21897.1
2017-10-24 03:58:00 EDT,+67.9013,+56.956,+1,+65,+7365.6,+21974.4
2017-10-24 03:59:00 EDT,+66.5752,+56.989,+1,+65,+7366.58,+22097.1
2017-10-24 04:00:00 EDT,+65.506,+57.022,+1,+65,+7367.75,+22219.9
2017-10-24 04:01:00 EDT,+64.6348,+56.971,+1,+65,+7366.13,+22342.7
2017-10-24 04:02:00 EDT,+63.9141,+56.92,+1,+65,+7364.32,+22465.5
2017-10-24 04:03:00 EDT,+63.3095,+56.869,+1,+65,+7362.51,+22588.2
2017-10-24 04:04:00 EDT,+62.7947,+56.818,+1,+65,+7360.7,+22710.9
2017-10-24 04:05:00 EDT,+62.3493,+56.767,+1,+65,+7358.89,+22833.6
2017-10-24 04:06:00 EDT,+62.1098,+56.716,+0,+65,+4445,+22951.4
2017-10-24 04:07:00 EDT,+63.1156,+56.665,+0,+65,+4445,+23025.5
